"key","en"
"client.email","Email"
"client.whatsApp","WhatsApp"
"client.sms","SMS"
"client.password","Password"
"client.changePassword","Change password"
"client.oldPassword","Old Password"
"client.newPassword","New Password"
"client.personalDetails","Personal Details"
"client.prefix","Prefix"
"client.firstName","First Name"
"client.lastName","Last Name"
"client.phone","Phone"
"client.cancel","Cancel"
"client.password","Password"
"client.repeatPassword","Repeat password"
"client.myNotificationPreferences","My Notification Preferences"
"client.emergencyContactPhone","Emergency contact phone"
"client.whatsAppPhone","WhatsApp Phone"
"client.address","Address"
"client.state","State"
"client.zip","ZIP"
"client.login","Login"
"client.logout","Logout"
"client.back","Back"
"client.submit","Submit"
"client.unlock","Unlock"
"client.confirm","Confirm"
"client.yourDriverLicense","Your Driver License"
"client.reservationSummary","Reservation Summary"
"client.finishReservation","Finish reservation"
"client.confirmNewPassword","Confirm New Password"
"client.passwordRecovery","Password recovery"
"client.restorePassword","Restore password"
"client.selectYourCarType","Select your car type"
"client.additionalRequests","Additional requests"
"client.pickUp","Pick-up"
"client.pickUpDate","Pick-up Date"
"client.pickUpTime","Pick-up Time"
"client.dropOff","Drop-off"
"client.dropOffDate","Drop-off Date"
"client.dropOffTime","Drop-off Time"
"client.vehicle","Vehicle"
"client.extraServices","Extra services"
"client.totalPrice","Total price"
"client.createAccount","Create Account"
"client.save","Save"
"client.changePassword","Change Password"
"client.signUp","Sign Up"
"client.dontHaveAnAccount","Don't have an account?"
"client.rememberMe","Remember Me"
"client.loginOrCreateAccount","LOGIN IN OR CREATE ACCOUNT"
"client.or","OR"
"client.ifYouDontHaveNoAcc","If you dont have no account, just continue to create it now."
"client.selectTheRentType","Select the rent type"
"client.findTheBestOption","Find the best option"
"client.dailyWeekly","Daily/Weekly"
"client.hourlyPartialDay","Hourly/Partial Day"
"client.previousStep","Previous step"
"client.nextStep","Next step"
"client.next","Next"
"client.fullDay","Full day"
"client.pickupDateTimeShouldBeMoreThanNowDateTime","Pickup DateTime should be more than now DateTime! Choose another rent type in previous step!"
"client.ifYourRentTypeIsHourly/PartialYouShouldBookYour","If your rent type is Hourly/Partial, you should book your time on less than 24 hours! Choose another rent type in previous step!"
"client.reservationHasBeenSuccessfullyCreated","Reservation has been successfully created!"
"client.upcoming","Upcoming"
"client.past","Past"
"client.newReservation","New reservation"
"client.unlockTheCar","Unlock the car"
"client.uploadTheImageOfTheCarDashboard","Upload the image of the car dashboard"
"client.addNotesWhereYouLeftTheCar","Add notes where you left the car"
"client.startTyping","Start typing"
"client.noDamagesAndAccidentsHappenDuringTheTrip","No damages and accidents happen during the trip"
"client.checkYourPrice","Check your price"
"client.total","Total"
"client.selectThePaymentMethod","Select the payment method"
"client.creditCard","Credit card"
"client.cashInCar","Cash in car"
"client.return","Return"
"client.itemName","Item name"
"client.unitPrice","Unit price"
"client.numberOfUnits","Number of units"
"client.lockTheCar","Lock the car"
"client.noMoreReservations","No more reservations"
"client.weAlreadyInspectedForAnyPreviousDamagesButForYourOwnSafetyPleaseCheckTheCar","We’ve already inspected for any previous damages, but for your own safety please check the car around and keep records of any damage you’ve found."
"client.carIsUnlockedTripInProgress","Car is unlocked! Trip in progress."
"client.uploadTheImageOfTheCarDashboard","Upload the image of the car dashboard"
"client.choosePlan","Choose a plan"
"client.rentType","Rent type"
"client.clearAll","Clear All"
"client.name","Name"
"client.contacts","Contacts"
"client.finish","Finish"
"client.expDate","Exp. Date"
"client.noCar","No Car In Reservation"
"client.expMonth","Expire month"
"client.cardholderName","Cardholder name"
"client.billingZipCode","Billing Zip code"
"client.payments","Payment Details"
"client.active","Active"
"client.notActive","Not Active"
"client.profileImage","Profile Image"
"client.driverLicence","Driver Licence"
"client.dob","dob"
"client.issueDate","Issue Date"
"client.licenceNumber","Licence Number"

"pages.promo","Promo"
"pages.dashboard","Dashboard"
"pages.login","Login"
"pages.registration","Registration"
"pages.restorePassword","Restore Password"
"pages.profile","Profile"
"pages.reservation","Reservation"
"pages.reservations","Reservations"
"pages.customer","Customer"
"pages.cars","Cars"
"pages.newCar","New Car"
"pages.reserveNow","Reserve Now"
"pages.reservationList","Reservation List"
