"key","en"
"auth.male","Male"
"auth.female","Female"
"auth.yes","Yes"
"auth.no","No"
"auth.registration_successful","Registration successful"
"auth.checkout_your_email","Checkout your email for further steps"
"auth.wrong_password_or_email","Wrong email or password"
"auth.account_not_activated","Account not activated"
"auth.forgot_password","Forgot Password"
"auth.forgot_password?","Forgot Password?"
"auth.reset_password_email_sent","If the specified email is registered within the system - you are going to receive a restoration password link. Follow the instructions to set a new password. The password reset link will expire in 24 hours"
"auth.back_to_login","Back to the login page"
"auth.please_login_new_credentials","Please, login using your new credentials"
"auth.email_already_taken","Email already taken"
"auth.accept_agreement","Agree to user agreement, Privacy & Cookie Policy"
"auth.sign_out","Sign Out"
"auth.success","Success!"
"auth.enter_email_attached_to_account","Please enter the email that is currently attached to your profile"
"auth.submit","Submit"
"auth.please_create_new_password","Please create a password that must contain 6-10 alphanumeric characters (case sensitive)."
"auth.new_password","New Password"
"auth.18_years_older","I am 18 years or older"
"auth.sign_in","Sign in"
"auth.sign_up","Sign up"
"auth.full_name","Full name*"
"auth.full_name_placeholder","e.g. James Smith"
"auth.email","Email*"
"auth.email_placeholder","e.g. email@email.com"
"auth.phone","Phone number*"
"auth.phone_placeholder","e.g. +111 1111 111111"
"auth.password","Password*"
"auth.password_rules","The password must be at least 8 characters long. It can contain letters (a-z, A-Z), numbers (0-9), special characters."
"auth.repeat_password","Repeat password*"
"auth.google","Google"
"auth.facebook","Facebook"
"auth.linkedin","LinkedIn"
"auth.apple","Apple"
"auth.sign_up_with","Sign up with"
"auth.sign_in_with","Sign in with"
"auth.or","or"
"auth.keep_me_updated","Keep me updated on the latest events and special offers."
"auth.stay_signed_in","Stay signed in"
"auth.lost_access_to_account","I lost access to my account"

"auth.terms","Terms and Conditions"
"auth.privacy","Privacy Policy"
"auth.gdpr","GDPR Policy"
"auth.ok","Ok"

"auth.credentials_confirm_email_title","Please confirm your email address"
"auth.credentials_confirm_email_subtitle","We sent a welcome letter to your email. Please, follow a link in the letter to confirm your email. It will help if you forget your password, and will allow you to receive the emails about your orders."
"auth.resend_email","Resend the email"
"auth.skip_step_for_now","Skip this step for now"
"auth.resending_timer","Resending will be available in {{seconds}}s"

"auth.email_confirmed","The email is successfully confirmed"
"auth.credentials_confirm_phone_title","Please confirm your phone number"
"auth.credentials_confirm_phone_subtitle","We sent an SMS to you. Please, enter a verification code in the field below to confirm your phone number. It will help if you forget your password."
"auth.resend_code","Resend the code"
"auth.verification_code","Verification code"

"auth.phone_confirmed","The phone number is successfully confirmed"
"auth.fill_profile_or_skip","Now you can fill in your individual profile, or skip filling in the profile and proceed."
"auth.fill_profile","Fill in the individual profile"
"auth.stay_signed_in","Stay signed in"
"auth.skip","Skip"
"auth.logInToYourAccount","Log in to your account"
"auth.updatePassword","Update Password"

"auth.userNotFoundCheckYourEnteredEmail","User not found! Check your entered email!"
"auth.userNotFoundCheckEmail","User not found! Check entered email!"
"auth.incorrectEmailOrPassword","Incorrect email or password!"
"auth.noAccess","No Access!"
"auth.theActivationMessageHasBeenSentCheckYourEmail","The activation message has been sent! Check your email!"
"auth.theActivationMessageHasBeenSentCheckYourPhone","The activation message has been sent! Check your phone!"
"auth.userHasBeenSuccessfullyActivated","User has been successfully activated!"
"auth.theRestorationCodeHasBeenSuccessfullySent","The restoration code has been successfully sent!"
"auth.passwordHasBeenSuccessfullyRestored","Password has been successfully restored!"
"auth.errorWithRestorePassword","Error with restore password!"
"auth.errorWithResetPassword","Error with reset password!"
"auth.resetCodeHasBeenSuccessfullySent","Reset code has been successfully sent!"
"auth.userIsAlreadyExist","User is already exist!"
"auth.rememberMe","Remember Me"
"auth.forgotPassword","Forgot Password?"
"auth.logIn","Log in"
"auth.dontHaveAnAccount","Dont have an account"
"auth.signUp","Sign Up"
"auth.pleaseEnterYourEmailThatYouUsedWhenRegistering","Please enter your E-mail that you used when registering. We will send your password to it."
"auth.backToLogIn","Back to Log in."
"auth.wheels2go","Wheels2Go"
"auth.cardholderName","Cardholder Name"
"auth.billingZipCode","Billing Zip Code"
"auth.driverLicence","Driver Licence"
"auth.profileImage","Profile Image"
"auth.mediaUploaded","Media Uploaded"

"auth.settings.promo","Home page"
"auth.settings.reserveACar","Reserve A Car"
"auth.settings.myReservations","My Reservations"
"auth.settings.reservationList","Reservation List"
"auth.settings.myProfile","My Profile"
"auth.settings.logOut","Log Out"
"auth.addYourDriverLicence","Add your driver licence"
